"reg" "dis" "con" "N1" "ward" "N2"
"ARUSHA" "MANISPAA YA ARUSHA" "ARUSHA MJINI" "1" "BARAA" 1
"ARUSHA" "MANISPAA YA ARUSHA" "ARUSHA MJINI" "2" "DARAJA MBILI" 2
"ARUSHA" "MANISPAA YA ARUSHA" "ARUSHA MJINI" "3" "ELERAI" 3
"ARUSHA" "MANISPAA YA ARUSHA" "ARUSHA MJINI" "4" "ENGUTOTO" 4
"ARUSHA" "MANISPAA YA ARUSHA" "ARUSHA MJINI" "5" "KALOLENI" 5
"ARUSHA" "MANISPAA YA ARUSHA" "ARUSHA MJINI" "6" "KATI" 6
"ARUSHA" "MANISPAA YA ARUSHA" "ARUSHA MJINI" "7" "KIMANDOLU" 7
"ARUSHA" "MANISPAA YA ARUSHA" "ARUSHA MJINI" "8" "LEMARA" 8
"ARUSHA" "MANISPAA YA ARUSHA" "ARUSHA MJINI" "9" "LEVOLOSI" 9
"ARUSHA" "MANISPAA YA ARUSHA" "ARUSHA MJINI" "10" "NGARENARO" 10
"ARUSHA" "MANISPAA YA ARUSHA" "ARUSHA MJINI" "11" "OLOIRIENI" 11
"ARUSHA" "MANISPAA YA ARUSHA" "ARUSHA MJINI" "12" "SEKEI" 12
"ARUSHA" "MANISPAA YA ARUSHA" "ARUSHA MJINI" "13" "SOKONI I" 13
"ARUSHA" "MANISPAA YA ARUSHA" "ARUSHA MJINI" "14" "SOMBETINI" 14
"ARUSHA" "MANISPAA YA ARUSHA" "ARUSHA MJINI" "15" "TERRAT" 15
"ARUSHA" "MANISPAA YA ARUSHA" "ARUSHA MJINI" "16" "THEMI" 16
"ARUSHA" "MANISPAA YA ARUSHA" "ARUSHA MJINI" "17" "UNGA LTD" 17
"ARUSHA" "MANISPAA YA ARUSHA" "ARUSHA MJINI" "18" "MOSHONO" 18
"ARUSHA" "MANISPAA YA ARUSHA" "ARUSHA MJINI" "19" "OLASITI" 19
"ARUSHA" "MANISPAA YA ARUSHA" "ARUSHA MJINI" "20" "SINONI" 20
"ARUSHA" "MANISPAA YA ARUSHA" "ARUSHA MJINI" "21" "MUHIVANO" 21
"ARUSHA" "MANISPAA YA ARUSHA" "ARUSHA MJINI" "22" "MURIETI" 22
"ARUSHA" "MANISPAA YA ARUSHA" "ARUSHA MJINI" "23" "SAKINA" 23
"ARUSHA" "MANISPAA YA ARUSHA" "ARUSHA MJINI" "24" "MOSHONO" 24
"ARUSHA" "MANISPAA YA ARUSHA" "ARUSHA MJINI" "25" "OSUNYAI NDOGO" 25
