"region" "district" "const"
"ARUSHA" "JIJI LA ARUSHA" "ARUSHA  MJINI"
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI"
"ARUSHA" "WILAYA YA KARATU" "KARATU"
"ARUSHA" "WILAYA YA LONGIDO" "LONGIDO"
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI"
"ARUSHA" "WILAYA YA MONDULI" "MONDULI"
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO"
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA"
"DAR ES SALAAM" "MANISPAA YA ILALA" "SEGEREA"
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA"
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE"
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI"
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO"
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI"
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE"
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI"
"DODOMA" "WILAYA YA BAHI" "BAHI"
"DODOMA" "WILAYA YA CHAMWINO" "CHILONWA"
"DODOMA" "WILAYA YA CHAMWINO" "MTERA"
"DODOMA" "WILAYA YA KONDOA" "KONDOA KASKAZINI"
"DODOMA" "WILAYA YA KONDOA" "KONDOA KUSINI"
"DODOMA" "WILAYA YA KONGWA" "KONGWA"
"DODOMA" "WILAYA YA MPWAPWA" "KIBAKWE"
"DODOMA" "WILAYA YA MPWAPWA" "MPWAPWA"
"IRINGA" "MANISPAA YA IRINGA" "IRINGA MJINI"
"IRINGA" "MJI WA NJOMBE" "NJOMBE KUSINI"
"IRINGA" "WILAYA YA IRINGA" "ISMANI"
"IRINGA" "WILAYA YA IRINGA" "KALENGA"
"IRINGA" "WILAYA YA KILOLO" "KILOLO"
"IRINGA" "WILAYA YA LUDEWA" "LUDEWA"
"IRINGA" "WILAYA YA MAKETE" "MAKETE"
"IRINGA" "WILAYA YA MUFINDI" "MUFINDI KASKAZINI"
"IRINGA" "WILAYA YA MUFINDI" "MUFINDI KUSINI"
"IRINGA" "WILAYA YA NJOMBE" "NJOMBE KASKAZINI"
"IRINGA" "WILAYA YA NJOMBE" "NJOMBE MAGHARIBI"
"KAGERA" "MANISPAA YA BUKOBA" "BUKOBA MJINI"
"KAGERA" "WILAYA YA BIHARAMULO" "BIHARAMULO MAGHARIBI"
"KAGERA" "WILAYA YA BUKOBA" "BUKOBA VIJIJINI"
"KAGERA" "WILAYA YA CHATO" "CHATO"
"KAGERA" "WILAYA YA KARAGWE" "KARAGWE"
"KAGERA" "WILAYA YA KARAGWE" "KYERWA"
"KAGERA" "WILAYA YA MISSENYI" "NKENGE"
"KAGERA" "WILAYA YA MULEBA" "MULEBA KASKAZINI"
"KAGERA" "WILAYA YA MULEBA" "MULEBA KUSINI"
"KAGERA" "WILAYA YA NGARA" "NGARA"
"KASKAZINI PEMBA" "MICHEWENI" "KONDE"
"KASKAZINI PEMBA" "MICHEWENI" "MGOGONI"
"KASKAZINI PEMBA" "MICHEWENI" "MICHEWENI"
"KASKAZINI PEMBA" "MICHEWENI" "TUMBE"
"KASKAZINI PEMBA" "WETE" "GANDO"
"KASKAZINI PEMBA" "WETE" "KOJANI"
"KASKAZINI PEMBA" "WETE" "MTAMBWE"
"KASKAZINI PEMBA" "WETE" "OLE"
"KASKAZINI PEMBA" "WETE" "WETE"
"KASKAZINI UNGUJA" "KASKAZINI A" "CHAANI"
"KASKAZINI UNGUJA" "KASKAZINI A" "MATEMWE"
"KASKAZINI UNGUJA" "KASKAZINI A" "MKWAJUNI"
"KASKAZINI UNGUJA" "KASKAZINI A" "NUNGWI"
"KASKAZINI UNGUJA" "KASKAZINI A" "TUMBATU"
"KASKAZINI UNGUJA" "KASKAZINI B" "BUMBWINI"
"KASKAZINI UNGUJA" "KASKAZINI B" "DONGE"
"KASKAZINI UNGUJA" "KASKAZINI B" "KITOPE"
"KIGOMA" "MANISPAA YA KIGOMA/UJIJI" "KIGOMA MJINI"
"KIGOMA" "WILAYA YA KASULU" "KASULU MJINI"
"KIGOMA" "WILAYA YA KASULU" "KASULU VIJIJINI"
"KIGOMA" "WILAYA YA KASULU" "MANYOVU"
"KIGOMA" "WILAYA YA KIBONDO" "BUYUNGU"
"KIGOMA" "WILAYA YA KIBONDO" "MUHAMBWE"
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI"
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KUSINI"
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI"
"KILIMANJARO" "WILAYA YA HAI" "HAI"
"KILIMANJARO" "WILAYA YA MOSHI" "MOSHI VIJIJINI"
