"region" "district" "const" "candidate" "party" "sex" "votes" "spltvotes" "perc"
"ARUSHA" "JIJI LA ARUSHA" "ARUSHA  MJINI" "CHRISTOPHER MREMA FELIX" "CCM" "M" 47361 3434 48.3
"ARUSHA" "JIJI LA ARUSHA" "ARUSHA  MJINI" "GODBLESS JONATHAN LEMA" "TLP" "M" 40892 3434 41.7
"ARUSHA" "JIJI LA ARUSHA" "ARUSHA  MJINI" "JEREMIAH SHAMPEKE MPINGA" "CHADEMA" "M" 6074 3434 6.2
"ARUSHA" "JIJI LA ARUSHA" "ARUSHA  MJINI" "ABDULHAMIDU SHAH TYASO" "CUF" "M" 2563 3434 2.6
"ARUSHA" "JIJI LA ARUSHA" "ARUSHA  MJINI" "BOSCO MOSHA JOHN" "DP" "M" 896 3434 0.9
"ARUSHA" "JIJI LA ARUSHA" "ARUSHA  MJINI" "ALFRED MEENDA MARTHA" "NLD" "F" 221 3434 0.2
"ARUSHA" "JIJI LA ARUSHA" "ARUSHA  MJINI" "PETER ZAWADI THADEUS" "SAU" "M" 118 3434 0.1
"ARUSHA" "MANISPAA YA ARUMERU" "ARUMERU MAGHARIBI" "ELISA DAVID MOLLEL" "CCM" "M" 57397 5767 60.7
"ARUSHA" "MANISPAA YA ARUMERU" "ARUMERU MAGHARIBI" "OLE-KISSAMBU MATHIAS" "CHADEMA" "M" 33593 5767 35.5
"ARUSHA" "MANISPAA YA ARUMERU" "ARUMERU MAGHARIBI" "TITUS MOLLEL CHARLES" "TLP" "M" 2121 5767 2.2
"ARUSHA" "MANISPAA YA ARUMERU" "ARUMERU MAGHARIBI" "NICHOLAS SITAYO ELIAKIM" "DP" "M" 857 5767 0.9
"ARUSHA" "MANISPAA YA ARUMERU" "ARUMERU MAGHARIBI" "DAVIE KASAMBALE YONAH" "NLD" "M" 588 5767 0.6
"ARUSHA" "MANISPAA YA ARUMERU" "ARUMERU MASHARIKI" "SOLOMON SUMARI JEREMIA" "CCM" "M" 58357 3037 79.6
"ARUSHA" "MANISPAA YA ARUMERU" "ARUMERU MASHARIKI" "CPT ELIAHU NASARI BOB" "CHADEMA" "M" 12037 3037 16.4
"ARUSHA" "MANISPAA YA ARUMERU" "ARUMERU MASHARIKI" "ANTHONY KIMUTO YOHANE" "TLP" "M" 830 3037 1.1
"ARUSHA" "MANISPAA YA ARUMERU" "ARUMERU MASHARIKI" "SULEIMAN MPUTTA ABDULLAZIZ" "CUF" "M" 790 3037 1.1
"ARUSHA" "MANISPAA YA ARUMERU" "ARUMERU MASHARIKI" "BETHWELL JEREMIA  SIKAWA" "DP" "M" 667 3037 0.9
"ARUSHA" "MANISPAA YA ARUMERU" "ARUMERU MASHARIKI" "LAURENT KASAMBALE JOSEPHER" "NLD" "F" 368 3037 0.5
"ARUSHA" "MANISPAA YA ARUMERU" "ARUMERU MASHARIKI" "ZEPHANIA MULWISHA MULWISHA" "UDP" "M" 278 3037 0.4
"ARUSHA" "WILAYA YA KARATU" "KARATU" "DR WILLIBROD PETER SLAA" "CHADEMA" "M" 34795 7029 50.6
"ARUSHA" "WILAYA YA KARATU" "KARATU" "PATRICK LUCIANO TSERE" "CCM" "M" 33692 7029 49
"ARUSHA" "WILAYA YA KARATU" "KARATU" "NEEMA SALAHO FELISIAN" "CUF" "M" 96 7029 0.1
"ARUSHA" "WILAYA YA KARATU" "KARATU" "JOHN BURRA DODO" "NCCR-MAGEUZI" "M" 56 7029 0.1
"ARUSHA" "WILAYA YA KARATU" "KARATU" "MAYO SAFARI GODLIZEN" "TLP" "M" 38 7029 0.1
"ARUSHA" "WILAYA YA KARATU" "KARATU" "MBONEA MSHANA JONAS" "SAU" "M" 34 7029 0
"ARUSHA" "WILAYA YA MONDULI" "LONGIDO" "MICHAEL LAIZER LEKULE" "CCM" "M" 21766 305 92.8
"ARUSHA" "WILAYA YA MONDULI" "LONGIDO" "SIMEL NTOIPO DAVID" "CHADEMA" "M" 1405 305 6
"ARUSHA" "WILAYA YA MONDULI" "LONGIDO" "LIVINGSTONE KOKA ROSE" "CUF" "F" 183 305 0.8
"ARUSHA" "WILAYA YA MONDULI" "LONGIDO" "SILANGA MOLLEL AMANI" "TLP" "M" 98 305 0.4
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "EDWARD NGOYAI LOWASSA" "CCM" "M" 34221 1640 95.6
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "JAMES NAVAYA NDASKOI" "CUF" "M" 1340 1640 3.7
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "LEKIBELIE MOLLEL SAKITA" "TLP" "M" 163 1640 0.5
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "SHALUA ERASMOS MIRIAM" "NLD" "F" 85 1640 0.2
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "MANDORE MOLLEL KELOI" "CHADEMA" "M" 0 1640 NA
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "MANDORE MOLLEL  KELOI" "CHADEMA" "M" 0 1640 NA
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "AZZAN ZUNGU MUSSA" "CCM" "M" 36629 1901 74.5
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "OMARI MNYANGA AHMAD" "CUF" "M" 9637 1901 19.6
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "SAIDI ABDALLAH MAGOTTI" "CHADEMA" "M" 2229 1901 4.5
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "MATEO MWAKALUKWA ZENA" "NCCR-MAGEUZI" "F" 213 1901 0.4
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "APPOLLO ODIERO SAMWELY" "PPT-Maendeleo" "M" 158 1901 0.3
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "ABDALAH KAJALA FATUMA" "NLD" "F" 91 1901 0.2
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "MOHAMED OMARY SAID" "Jahazi Asilia" "M" 91 1901 0.2
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "MWANAIDI JUMA MTITU" "NRA" "F" 78 1901 0.2
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "FELIX MARKUS MAKUWA" "UPDP" "M" 57 1901 0.1
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "MICHAEL NADANGANYA  HELLEN" "TLP" "F" 0 1901 NA
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "MICHAEL NADANGANYA HELLEN" "TLP" "F" 0 1901 NA
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "DR MILTON MAKONGORO MAHANGA" "CCM" "M" 126955 16768 62.7
