"region" "district" "const" "candidate" "party" "votes" "spltvotes" "perc"
"ARUSHA" "JIJI LA ARUSHA" "ARUSHA  MJINI" "LEMA GODBLESS JONATHAN" "CHADEMA" 56196 1115 57.68
"ARUSHA" "JIJI LA ARUSHA" "ARUSHA  MJINI" "BATILDA DR. SALHA BURIAN" "CCM" 37460 1115 38.45
"ARUSHA" "JIJI LA ARUSHA" "ARUSHA  MJINI" "YUSSUPH BAALAWAY GHARIB" "CUF" 2022 1115 2.08
"ARUSHA" "JIJI LA ARUSHA" "ARUSHA  MJINI" "JOSEPH MARK MAFUATA" "MAKIN" 456 1115 0.47
"ARUSHA" "JIJI LA ARUSHA" "ARUSHA  MJINI" "MACMILLIAN ELIFATIO LYIMO" "TLP" 179 1115 0.18
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "OLE-MEDEYE GOODLUCK JOSEPH" "CCM" 36075 1771 54.89
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "OLE-KISAMBU NONE MATHIAS" "CHADEMA" 27187 1771 41.36
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "LUMAMBO WESTGATE CLIFFORD KIMWERI" "TLP" 692 1771 1.05
"ARUSHA" "WILAYA YA KARATU" "KARATU" "NATSE ISRAEL YOHANA" "CHADEMA" 41109 1898 59.18
"ARUSHA" "WILAYA YA KARATU" "KARATU" "LORRI WILBALD SLAA" "CCM" 26211 1898 37.73
"ARUSHA" "WILAYA YA KARATU" "KARATU" "APPOLLINARY DEO MWIGITWA" "CUF" 244 1898 0.35
"ARUSHA" "WILAYA YA LONGIDO" "LONGIDO" "MICHAEL LEKULE LAIZER" "CCM" 17687 387 86.81
"ARUSHA" "WILAYA YA LONGIDO" "LONGIDO" "PAULINA LUKAS LAIZA" "CHADEMA" 2300 387 11.29
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "SUMARI JEREMIAH SOLOMON" "CCM" 34661 1297 62.23
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "JOSHUA SAMWEL NASARI" "CHADEMA" 19123 1297 34.33
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "JOHN YESAYA PALLANGYO" "CUF" 265 1297 0.48
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "LINDA PENIELI BANA" "JAHAZI ASILIA" 176 1297 0.32
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "FANUEL GABRIEL PALLANGYO" "TLP" 88 1297 0.16
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "CHARLES MOSES MSUYA" "UPDP" 88 1297 0.16
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "LOWASSA EDWARD NGOYAI" "CCM" 30236 590 90.93
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "MOLLEL SILANGA AMANI" "CHADEMA" 2358 590 7.09
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "NDASKOI JAMES NAVAYA" "CUF" 67 590 0.2
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "TELELE KAIKA SANING'O" "CCM" 17507 409 80.12
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "MORINGE LAZARO PARKIPUNY" "CHADEMA" 3934 409 18
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "ZUNGU MUSSA AZZAN" "CCM" 25940 394 66.77
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "NAOMI MWAKYOMA KAIHULA" "CHADEMA" 8053 394 20.73
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "SIYOVEIWA HUSSEIN PETER" "CUF" 3988 394 10.27
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "ASIA RASHIDI HUSSEIN" "NLD" 157 394 0.4
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "FADHILI ALLY MGAYWA" "DP" 73 394 0.19
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "LIFA-CHIPAKA JOHN DUNSTAN" "TADEA" 66 394 0.17
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "JUMA SHARIFF KHAMISI" "UMD" 51 394 0.13
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "ASIFIWE SANGA MWAKALINGA" "UDP" 50 394 0.13
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "JUVENTINA JOHN CHING\"ANDE" "NRA" 34 394 0.09
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "NGOWI WILBERT ALFAYO" "SAU" 29 394 0.07
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "ANTHONIA SETH MDOSS" "UPDP" 12 394 0.03
"DAR ES SALAAM" "MANISPAA YA ILALA" "SEGEREA" "DR. MILTON MAKONGORO MAHANGA" "CCM" 43554 1444 41.7
"DAR ES SALAAM" "MANISPAA YA ILALA" "SEGEREA" "MPENDAZOE FRED TUNGU" "CHADEMA" 39150 1444 37.49
"DAR ES SALAAM" "MANISPAA YA ILALA" "SEGEREA" "KIMANGALE AYUBU MUSSA" "CUF" 18737 1444 17.94
"DAR ES SALAAM" "MANISPAA YA ILALA" "SEGEREA" "MARTHA PETER NDAKI" "APPT - MAENDELEO" 419 1444 0.4
"DAR ES SALAAM" "MANISPAA YA ILALA" "SEGEREA" "YUSUF HAMIS SALUM" "SAU" 288 1444 0.28
"DAR ES SALAAM" "MANISPAA YA ILALA" "SEGEREA" "ASIA DISMAS CHALE" "JAHAZI ASILIA" 220 1444 0.21
"DAR ES SALAAM" "MANISPAA YA ILALA" "SEGEREA" "HAULE JAMES LAMBILEKI" "TLP" 206 1444 0.2
"DAR ES SALAAM" "MANISPAA YA ILALA" "SEGEREA" "AMINA DADI LITAKA" "UDP" 160 1444 0.15
"DAR ES SALAAM" "MANISPAA YA ILALA" "SEGEREA" "RUKIA ISSA MWENE" "UPDP" 96 1444 0.09
"DAR ES SALAAM" "MANISPAA YA ILALA" "SEGEREA" "KAGIMBO ANGELINA FRANK" "NRA" 88 1444 0.08
"DAR ES SALAAM" "MANISPAA YA ILALA" "SEGEREA" "MAIMU WINFRIDA OMAR" "UMD" 74 1444 0.07
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "MWAIPOSA EUGEN ELISHIRINGA" "CCM" 28000 1006 53.07
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "BINAGI JAMES CHACHA" "CHADEMA" 17059 1006 32.34
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "HEKO BETHUEL PORI" "CUF" 5220 1006 9.89
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "ELIZABETH DAVID SWAGANYA MASANJA" "APPT - MAENDELEO" 322 1006 0.61
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "MASALUTA RICHARD KASEGA" "AFP" 272 1006 0.52
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "KAMBI MAALIM KAMBI" "NCCR-MAGEUZI" 232 1006 0.44
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "SAIDI ALLY ALINGOZI" "NRA" 197 1006 0.37
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "KIMOSSA OMAR MOHAMED" "UMD" 110 1006 0.21
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "NONDO BIBI HALIMA IBRAHIM" "NLD" 95 1006 0.18
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "NCHIMBI MARY VINCENT" "DP" 89 1006 0.17
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "FLORENCE JACOB CHACHA" "UDP" 82 1006 0.16
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "BONGI ZAINA MUSSA" "UPDP" 73 1006 0.14
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "MDEE JAMES HALIMA" "CHADEMA" 43365 51 43.17
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "ANGELA CHARLES KIZIGHA" "CCM" 34412 51 34.26
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "MBATIA JAMES FRANCIS" "NCCR-MAGEUZI" 11970 51 11.92
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "MAPEYO SALIMU SHAABANI" "CUF" 9121 51 9.08
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "GRACE MAHAMUDU RENDI" "UDP" 673 51 0.67
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "NATHANIELI MANASE MLAKI" "APPT - MAENDELEO" 375 51 0.37
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "RICHARD PIUS MAHALAKA" "UPDP" 215 51 0.21
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "STEPHEN FEDRICK KATUMBI" "TLP" 215 51 0.21
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "MICHAEL BERNARD NDERUMAKI" "SAU" 50 51 0.05
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "AZZAN IDDI MOHAMED" "CCM" 51372 1777 49.18
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "PHILLIP NYACHINI MOGENDI" "CHADEMA" 27355 1777 26.19
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "NASSORO ALHAJ SHABAAN ALI" "CUF" 22660 1777 21.69
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "FITIMA MOHAMED MALICKY" "APPT - MAENDELEO" 374 1777 0.36
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "ATHANAS BONIVENTULA SOLOMON" "DP" 210 1777 0.2
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "SWAI ISAELI AIKAMBE" "SAU" 156 1777 0.15
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "MASUMBUKO KASSIM MAZIKU" "JAHAZI ASILIA" 119 1777 0.11
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "SALAMA MOHAMED ULAYA" "NLD" 113 1777 0.11
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "MARY ORSWARD MPANGALA" "UMD" 98 1777 0.09
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "DAVID DAUD MWAIJOJELE" "UPDP" 90 1777 0.09
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "MOHAMED HARUNA BAGOKA" "TLP" 73 1777 0.07
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "NYUMBA ASIA SAID" "NRA" 70 1777 0.07
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "MNYIKA JOHN JOHN" "CHADEMA" 66742 2184 49.56
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "HAWA MGONJA NG'HUMBI" "CCM" 50544 2184 37.53
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "MTATIRO - JULIUS" "CUF" 12964 2184 9.63
