REGMAP,DISMAP,REGPOL,DISPOL
ARUSHA,ARUMERU,ARUSHA,WILAYA YA MERU
ARUSHA,ARUSHA,ARUSHA,WILAYA YA ARUSHA
ARUSHA,KARATU,ARUSHA,WILAYA YA KARATU
ARUSHA,MONDULI,ARUSHA,WILAYA YA MONDULI
ARUSHA,NGORONGORO,ARUSHA,WILAYA YA NGORONGORO
ARUSHA,SIMANJIRO,ARUSHA,NA
DAR-ES-SALAAM,ILALA,DAR-ES-SALAAM,MANISPAA YA ILALA
DAR-ES-SALAAM,KINONDONI,DAR-ES-SALAAM,MANISPAA YA KINONDONI
DAR-ES-SALAAM,TEMEKE,DAR-ES-SALAAM,MANISPAA YA TEMEKE
DODOMA,DODOMA RURAL,DODOMA,NA
DODOMA,DODOMA URBAN,DODOMA,MANISPAA YA DODOMA
DODOMA,KONDOA,DODOMA,WILAYA YA KONDOA
DODOMA,KONGWA,DODOMA,WILAYA YA KONGWA
DODOMA,MPWAPWA,DODOMA,WILAYA YA MPWAPWA
IRINGA,IRINGA RURAL,IRINGA,WILAYA YA IRINGA
IRINGA,IRINGA URBAN,IRINGA,MANISPAA YA IRINGA
IRINGA,KILOLO,IRINGA,WILAYA YA KILOLO
IRINGA,KILOSA,IRINGA,NA
IRINGA,LUDEWA,IRINGA,WILAYA YA LUDEWA
IRINGA,MAKETE,IRINGA,WILAYA YA MAKETE
IRINGA,MUFINDI,IRINGA,NA
IRINGA,NJOMBE,IRINGA,WILAYA YA NJOMBE
KAGERA,BIHARAMULO,KAGERA,WILAYA YA BIHARAMULO
KAGERA,BUKOBA RURAL,KAGERA,WILAYA YA BUKOBA
KAGERA,BUKOBA URBAN,KAGERA,MANISPAA YA BUKOBA
KAGERA,KARAGWE,KAGERA,WILAYA YA KARAGWE
KAGERA,LAKE VICTORIA,KAGERA,NA
KAGERA,MULEBA,KAGERA,WILAYA YA MULEBA
KAGERA,NGARA,KAGERA,WILAYA YA NGARA
KIGOMA,KASULU,KIGOMA,WILAYA YA KASULU
KIGOMA,KIBONDO,KIGOMA,WILAYA YA KIBONDO
KIGOMA,KIGOMA RURAL,KIGOMA,WILAYA YA KIGOMA
KIGOMA,KIGOMA URBAN,KIGOMA,MANISPAA YA KIGOMA/UJIJI
KIGOMA,LAKE TANGANYIKA,KIGOMA,NA
KILIMANJARO,HAI,KILIMANJARO,WILAYA YA HAI
KILIMANJARO,MOSHI RURAL,KILIMANJARO,WILAYA YA MOSHI
KILIMANJARO,MOSHI URBAN,KILIMANJARO,MANISPAA YA MOSHI
KILIMANJARO,MWANGA,KILIMANJARO,WILAYA YA MWANGA
KILIMANJARO,ROMBO,KILIMANJARO,WILAYA YA ROMBO
KILIMANJARO,SAME,KILIMANJARO,WILAYA YA SAME
LINDI,KILWA,LINDI,WILAYA YA KILWA
LINDI,LINDI RURAL,LINDI,WILAYA YA LINDI
LINDI,LINDI URBAN,LINDI,MJI WA LINDI
LINDI,LIWALE,LINDI,WILAYA YA LIWALE
LINDI,NACHINGWEA,LINDI,WILAYA YA NACHINGWEA
LINDI,RUANGWA,LINDI,WILAYA YA RUANGWA
MANYARA,BABATI,MANYARA,WILAYA YA BABATI
MANYARA,HANANG,MANYARA,WILAYA YA HANANG
MANYARA,KARATU,MANYARA,NA
MANYARA,KITETO,MANYARA,WILAYA YA KITETO
MANYARA,MBULU,MANYARA,WILAYA YA MBULU
MANYARA,SIMANJIRO,MANYARA,WILAYA YA SIMANJIRO
MARA,BUNDA,MARA,WILAYA YA BUNDA
MARA,LAKE VICTORIA,MARA,NA
MARA,MUSOMA RURAL,MARA,WILAYA YA MUSOMA
