"","y2_hhid","reg","dis","ward","id","con","ccm_prez05","split_prez05"
"1","0101014002017101","DODOMA","KONDOA","PARANGA",112,"KONDOA KUSINI",1,62.8
"2","0101014002028401","DODOMA","KONDOA","PARANGA",112,"KONDOA KUSINI",1,62.8
"3","0101014002029701","DODOMA","KONDOA","PARANGA",112,"KONDOA KUSINI",1,62.8
"4","0101014002029704","DODOMA","KONDOA","PARANGA",112,"KONDOA KUSINI",1,62.8
"5","0101014002040901","DODOMA","KONDOA","PARANGA",112,"KONDOA KUSINI",1,62.8
"6","0101014002047101","DODOMA","KONDOA","PARANGA",112,"KONDOA KUSINI",1,62.8
"7","0101014002055101","DODOMA","KONDOA","PARANGA",112,"KONDOA KUSINI",1,62.8
"8","0101014002076101","DODOMA","KONDOA","PARANGA",112,"KONDOA KUSINI",1,62.8
"9","0101014002076201","DODOMA","KONDOA","PARANGA",112,"KONDOA KUSINI",1,62.8
"10","0102003003000401","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,92.1
"11","0102003003002201","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,92.1
"12","0102003003014001","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,92.1
"13","0102003003016101","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,92.1
"14","0102003003017401","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,92.1
"15","0102003003017407","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,92.1
"16","0102003003020001","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,92.1
"17","0102003003043001","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,92.1
"18","0102003003047901","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,92.1
"19","0102017003000101","DODOMA","MPWAPWA","LUMUMA",120,NA,NA,NA
"20","0102017003000104","DODOMA","MPWAPWA","LUMUMA",120,NA,NA,NA
"21","0102017003001701","DODOMA","MPWAPWA","LUMUMA",120,NA,NA,NA
"22","0102017003002201","DODOMA","MPWAPWA","LUMUMA",120,NA,NA,NA
"23","0102017003004801","DODOMA","MPWAPWA","LUMUMA",120,NA,NA,NA
"24","0102017003010001","DODOMA","MPWAPWA","LUMUMA",120,NA,NA,NA
"25","0102017003020901","DODOMA","MPWAPWA","LUMUMA",120,NA,NA,NA
"26","0102017003024101","DODOMA","MPWAPWA","LUMUMA",120,NA,NA,NA
"27","0102017003024601","DODOMA","MPWAPWA","LUMUMA",120,NA,NA,NA
"28","0103013004016101","DODOMA","KONGWA","UGOGONI",115,"KONGWA",1,90.5
"29","0103013004021901","DODOMA","KONGWA","UGOGONI",115,"KONGWA",1,90.5
"30","0103013004025901","DODOMA","KONGWA","UGOGONI",115,"KONGWA",1,90.5
"31","0103013004034601","DODOMA","KONGWA","UGOGONI",115,"KONGWA",1,90.5
"32","0103013004046801","DODOMA","KONGWA","UGOGONI",115,"KONGWA",1,90.5
"33","0103013004068501","DODOMA","KONGWA","UGOGONI",115,"KONGWA",1,90.5
"34","0103013004073901","DODOMA","KONGWA","UGOGONI",115,"KONGWA",1,90.5
"35","0103013004074501","DODOMA","KONGWA","UGOGONI",115,"KONGWA",1,90.5
"36","0103013301006801","DODOMA","KONGWA","KONGWA",116,"KONGWA",1,90.5
"37","0103013301009201","DODOMA","KONGWA","KONGWA",116,"KONGWA",1,90.5
"38","0103013301017501","DODOMA","KONGWA","KONGWA",116,"KONGWA",1,90.5
"39","0103013301018801","DODOMA","KONGWA","KONGWA",116,"KONGWA",1,90.5
"40","0103013301018803","DODOMA","KONGWA","KONGWA",116,"KONGWA",1,90.5
"41","0103013301030001","DODOMA","KONGWA","KONGWA",116,"KONGWA",1,90.5
"42","0103013301032201","DODOMA","KONGWA","KONGWA",116,"KONGWA",1,90.5
"43","0103013301041101","DODOMA","KONGWA","KONGWA",116,"KONGWA",1,90.5
"44","0103013301041102","DODOMA","KONGWA","KONGWA",116,"KONGWA",1,90.5
"45","0103013301065201","DODOMA","KONGWA","KONGWA",116,"KONGWA",1,90.5
