"y3_hhid","reg","dis","ward","id","con","ccm_leg10","split_leg10","ccm_prez10","split_prez10"
"0001-001","DODOMA","KONDOA","PARANGA",112,"KONDOA KUSINI",1,63.11,1,64.66
"0002-001","DODOMA","KONDOA","PARANGA",112,"KONDOA KUSINI",1,63.11,1,64.66
"0003-001","DODOMA","KONDOA","PARANGA",112,"KONDOA KUSINI",1,63.11,1,64.66
"0003-010","DAR-ES-SALAAM","TEMEKE","TANDIKA",80,"TEMEKE",1,24.35,1,24.31
"0005-001","DODOMA","KONDOA","PARANGA",112,"KONDOA KUSINI",1,63.11,1,64.66
"0006-001","DODOMA","KONDOA","PARANGA",112,"KONDOA KUSINI",1,63.11,1,64.66
"0007-001","DODOMA","KONDOA","PARANGA",112,"KONDOA KUSINI",1,63.11,1,64.66
"0008-001","DODOMA","KONDOA","PARANGA",112,"KONDOA KUSINI",1,63.11,1,64.66
"0009-001","DODOMA","KONDOA","PARANGA",112,"KONDOA KUSINI",1,63.11,1,64.66
"0010-001","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,100,1,77.21
"0011-001","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,100,1,77.21
"0011-004","MOROGORO","KILOSA","CHAGONGWE",387,"GAIRO",1,89.3,1,78.64
"0012-001","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,100,1,77.21
"0013-001","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,100,1,77.21
"0014-001","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,100,1,77.21
"0014-007","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,100,1,77.21
"0015-001","MOROGORO","KILOSA","ZOMBO",388,"MIKUMI",1,37.33,1,44.48
"0016-001","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,100,1,77.21
"0017-001","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,100,1,77.21
"0018-001","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,100,1,77.21
"0019-001","DODOMA","MPWAPWA","LUMUMA",120,NA,NA,NA,NA,NA
"0019-003","DODOMA","MPWAPWA","LUMUMA",120,NA,NA,NA,NA,NA
"0020-001","DODOMA","MPWAPWA","KIBAKWE",121,"KIBAKWE",1,57.91,1,68.33
"0021-001","DODOMA","MPWAPWA","LUMUMA",120,NA,NA,NA,NA,NA
"0022-001","DODOMA","MPWAPWA","LUMUMA",120,NA,NA,NA,NA,NA
"0023-001","DODOMA","MPWAPWA","LUMUMA",120,NA,NA,NA,NA,NA
"0024-001","DODOMA","MPWAPWA","LUMUMA",120,NA,NA,NA,NA,NA
"0025-001","PWANI","KIBAHA","MLANDIZI",548,"KIBAHA VIJIJINI",1,60.36,1,63.51
"0026-001","DODOMA","MPWAPWA","LUMUMA",120,NA,NA,NA,NA,NA
"0027-001","DODOMA","MPWAPWA","LUMUMA",120,NA,NA,NA,NA,NA
"0028-001","DODOMA","KONGWA","UGOGONI",115,"KONGWA",1,100,1,81.15
"0029-001","DODOMA","KONGWA","UGOGONI",115,"KONGWA",1,100,1,81.15
"0030-001","DODOMA","KONGWA","UGOGONI",115,"KONGWA",1,100,1,81.15
"0031-001","DODOMA","KONGWA","UGOGONI",115,"KONGWA",1,100,1,81.15
"0032-001","DODOMA","KONGWA","UGOGONI",115,"KONGWA",1,100,1,81.15
"0033-001","DODOMA","KONGWA","UGOGONI",115,"KONGWA",1,100,1,81.15
"0034-001","DODOMA","KONGWA","UGOGONI",115,"KONGWA",1,100,1,81.15
"0034-003","DAR-ES-SALAAM","ILALA","SEGEREA",42,"UKONGA",1,20.73,1,17.51
"0035-001","DODOMA","KONGWA","UGOGONI",115,"KONGWA",1,100,1,81.15
"0036-001","DODOMA","KONGWA","KONGWA",116,"KONGWA",1,100,1,81.15
"0037-001","DODOMA","KONGWA","KONGWA",116,"KONGWA",1,100,1,81.15
"0038-001","DODOMA","KONGWA","MKOKA",117,"KONGWA",1,100,1,81.15
"0038-002","DODOMA","KONGWA","KONGWA",116,"KONGWA",1,100,1,81.15
"0039-001","DODOMA","KONGWA","KONGWA",116,"KONGWA",1,100,1,81.15
"0039-004","DODOMA","KONGWA","KONGWA",116,"KONGWA",1,100,1,81.15
"0040-001","DODOMA","KONGWA","KONGWA",116,"KONGWA",1,100,1,81.15
"0041-002","DODOMA","KONGWA","KONGWA",116,"KONGWA",1,100,1,81.15
"0041-006","DODOMA","KONGWA","KONGWA",116,"KONGWA",1,100,1,81.15
"0042-001","DODOMA","KONGWA","KONGWA",116,"KONGWA",1,100,1,81.15
"0043-001","DODOMA","KONGWA","KONGWA",116,"KONGWA",1,100,1,81.15
