id,reg,dis,con,ward,ccm_leg10,split_leg10
1,DODOMA,KONDOA,KONDOA KUSINI,PARANGA,1,63.11
2,DODOMA,MPWAPWA,MPWAPWA,MATOMONDO,1,NA
3,DODOMA,MPWAPWA,NA,LUMUMA,NA,NA
4,DODOMA,KONGWA,KONGWA,UGOGONI,1,NA
5,DODOMA,KONGWA,KONGWA,KONGWA,1,NA
6,DODOMA,DODOMA RURAL,MTERA,MVUMI MISSION,1,64.7
7,DODOMA,DODOMA RURAL,BAHI,CHIBELELA,1,87.05
8,DODOMA,DODOMA RURAL,BAHI,BAHI,1,87.05
9,DODOMA,DODOMA URBAN,DODOMA MJINI,CHILANGA,1,49.68
10,DODOMA,DODOMA URBAN,DODOMA MJINI,HOMBOLO,1,49.68
11,DODOMA,DODOMA URBAN,DODOMA MJINI,NALA,1,49.68
12,ARUSHA,MONDULI,MONDULI,SELELA,1,83.84
13,ARUSHA,MONDULI,MONDULI,ENGARUKA,1,83.84
14,ARUSHA,ARUMERU,ARUMERU MASHARIKI,MAJIYA CHAI,1,27.9
15,ARUSHA,ARUMERU,ARUMERU MASHARIKI,KIKWE,1,27.9
16,ARUSHA,ARUMERU,ARUMERU MAGHARIBI,KIRANYI,1,13.53
17,ARUSHA,ARUSHA,ARUSHA  MJINI,TERRAT,0,19.23
18,ARUSHA,ARUSHA,ARUSHA  MJINI,DARAJA MBILI,0,19.23
19,ARUSHA,ARUSHA,ARUSHA  MJINI,SOMBETINI,0,19.23
20,ARUSHA,KARATU,KARATU,RHOTIA,0,21.45
21,ARUSHA,KARATU,KARATU,GANAKO,0,21.45
22,ARUSHA,NGORONGORO,NGORONGORO,DIGODIGO,1,62.12
23,ARUSHA,NGORONGORO,NGORONGORO,NGORONGORO,1,62.12
24,KILIMANJARO,ROMBO,ROMBO,KELAMFUA MOKALA,0,3.24
25,KILIMANJARO,ROMBO,ROMBO,OLELE,0,3.24
26,KILIMANJARO,ROMBO,ROMBO,KIRONGO SAMANGA,0,3.24
27,KILIMANJARO,MWANGA,MWANGA,MSANGENI,1,61.47
28,KILIMANJARO,MWANGA,MWANGA,KWAKOA,1,61.47
29,KILIMANJARO,SAME,SAME MASHARIKI,NDUNGU,1,24.64
