"id","reg","dis","con","ward","ccm_leg10","split_leg10","ccm_leg05","split_leg05"
1,"DODOMA","KONDOA","KONDOA KUSINI","PARANGA",1,63.11,1,46.9
2,"DODOMA","MPWAPWA","MPWAPWA","MATOMONDO",1,NA,1,83.8
3,"DODOMA","MPWAPWA",NA,"LUMUMA",NA,NA,NA,NA
4,"DODOMA","KONGWA","KONGWA","UGOGONI",1,NA,1,87
5,"DODOMA","KONGWA","KONGWA","KONGWA",1,NA,1,87
6,"DODOMA","DODOMA RURAL","MTERA","MVUMI MISSION",1,64.7,1,NA
7,"DODOMA","DODOMA RURAL","BAHI","CHIBELELA",1,87.05,1,84.1
8,"DODOMA","DODOMA RURAL","BAHI","BAHI",1,87.05,1,84.1
9,"DODOMA","DODOMA URBAN","DODOMA MJINI","CHILANGA",1,49.68,1,73.9
10,"DODOMA","DODOMA URBAN","DODOMA MJINI","HOMBOLO",1,49.68,1,73.9
11,"DODOMA","DODOMA URBAN","DODOMA MJINI","NALA",1,49.68,1,73.9
12,"ARUSHA","MONDULI","MONDULI","SELELA",1,83.84,1,NA
13,"ARUSHA","MONDULI","MONDULI","ENGARUKA",1,83.84,1,NA
14,"ARUSHA","ARUMERU","ARUMERU MASHARIKI","MAJIYA CHAI",1,27.9,1,63.2
15,"ARUSHA","ARUMERU","ARUMERU MASHARIKI","KIKWE",1,27.9,1,63.2
16,"ARUSHA","ARUMERU","ARUMERU MAGHARIBI","KIRANYI",1,13.53,1,25.2
17,"ARUSHA","ARUSHA","ARUSHA  MJINI","TERRAT",0,19.23,1,6.59999999999999
18,"ARUSHA","ARUSHA","ARUSHA  MJINI","DARAJA MBILI",0,19.23,1,6.59999999999999
19,"ARUSHA","ARUSHA","ARUSHA  MJINI","SOMBETINI",0,19.23,1,6.59999999999999
20,"ARUSHA","KARATU","KARATU","RHOTIA",0,21.45,0,1.6
21,"ARUSHA","KARATU","KARATU","GANAKO",0,21.45,0,1.6
22,"ARUSHA","NGORONGORO","NGORONGORO","DIGODIGO",1,62.12,NA,NA
23,"ARUSHA","NGORONGORO","NGORONGORO","NGORONGORO",1,62.12,NA,NA
24,"KILIMANJARO","ROMBO","ROMBO","KELAMFUA MOKALA",0,3.24,1,62.9
25,"KILIMANJARO","ROMBO","ROMBO","OLELE",0,3.24,1,62.9
26,"KILIMANJARO","ROMBO","ROMBO","KIRONGO SAMANGA",0,3.24,1,62.9
27,"KILIMANJARO","MWANGA","MWANGA","MSANGENI",1,61.47,1,61.6
28,"KILIMANJARO","MWANGA","MWANGA","KWAKOA",1,61.47,1,61.6
29,"KILIMANJARO","SAME","SAME MASHARIKI","NDUNGU",1,24.64,1,25.7
30,"KILIMANJARO","SAME","SAME MAGHARIBI","MAKANYA",1,68.71,1,84.7
31,"KILIMANJARO","MOSHI RURAL","VUNJO","MWIKA KUSINI",0,20.95,1,12.6
32,"KILIMANJARO","MOSHI RURAL","MOSHI VIJIJINI","KIMOCHI",1,20.6,1,NA
33,"KILIMANJARO","MOSHI RURAL","VUNJO","KIRUA VUNJO MASHARIKI",0,20.95,1,12.6
34,"KILIMANJARO","HAI","HAI","MASAMA MASHARIKI",0,9.46,1,19.8
35,"KILIMANJARO","HAI","SIHA","SIHA KATI",1,31.64,1,68.6
36,"KILIMANJARO","HAI","HAI","HAI MJINI",0,9.46,1,19.8
37,"TANGA","KOROGWE","KOROGWE VIJIJINI","MASHEWA",1,77.84,1,71.3
38,"TANGA","LUSHOTO","LUSHOTO","LUSHOTO",1,69.4,1,79.4
39,"TANGA","KOROGWE","KOROGWE VIJIJINI","KERENGE",1,77.84,1,71.3
40,"TANGA","KOROGWE","KOROGWE MJINI","KOROGWE",1,70.38,1,35.2
41,"TANGA","KOROGWE","KOROGWE VIJIJINI","MAGOMA",1,77.84,1,71.3
42,"TANGA","MUHEZA","MUHEZA","MISALAI",1,62.85,1,72.5
43,"TANGA","MUHEZA","MUHEZA","BWEMBWERA",1,62.85,1,72.5
44,"TANGA","TANGA","TANGA MJINI","CHONGOLEANI",1,22.11,1,30.6
45,"TANGA","PANGANI","PANGANI","BWENI",1,31.29,1,19.3
46,"TANGA","PANGANI","PANGANI","TUNGAMAA",1,31.29,1,19.3
47,"TANGA","HANDENI","HANDENI","MAZINGARA",1,56.38,1,NA
48,"TANGA","HANDENI","HANDENI","KOMKONGA",1,56.38,1,NA
49,"TANGA","HANDENI","HANDENI","CHANIKA",1,56.38,1,NA
50,"TANGA","KILINDI","KILINDI","KWEDIBOMA",1,87.1,1,74.4
51,"MOROGORO","KILOSA","KILOSA","MSOWERO",1,71.1,1,67.5
52,"MOROGORO","KILOSA","GAIRO","MANDEGE",1,89.3,1,95.1
53,"MOROGORO","MOROGORO RURAL","MOROGORO KUSINI MASHARIKI","MKUYUNI",1,62.5,1,63.3
54,"MOROGORO","KILOMBERO","KILOMBERO","LUMELO",1,5.52,1,58.1
55,"MOROGORO","KILOMBERO","KILOMBERO","IDETE",1,5.52,1,58.1
56,"MOROGORO","ULANGA","ULANGA MASHARIKI","VIGOI",1,NA,1,69.6
57,"MOROGORO","ULANGA","ULANGA MASHARIKI","LSONGO",1,NA,1,69.6
58,"MOROGORO","MOROGORO URBAN","MOROGORO MJINI","KINGO",1,38.25,1,37.1
59,"MOROGORO","MOROGORO URBAN","MOROGORO MJINI","MAZIMBU",1,38.25,1,37.1
60,"MOROGORO","MOROGORO URBAN","MOROGORO MJINI","MWEMBESONGO",1,38.25,1,37.1
61,"MOROGORO","MOROGORO URBAN","MOROGORO MJINI","KIHONDA",1,38.25,1,37.1
62,"MOROGORO","MVOMERO","MVOMERO","MTIBWA",1,38.68,1,77.5
63,"MOROGORO","MVOMERO","MVOMERO","KANGA",1,38.68,1,77.5
64,"MOROGORO","MVOMERO","MVOMERO","KIKEO",1,38.68,1,77.5
65,"PWANI","BAGAMOYO","BAGAMOYO","MAGOMENI",1,62.91,1,65.5
66,"PWANI","BAGAMOYO","CHALINZE","CHALINZE",1,79.78,1,72.8
67,"PWANI","KIBAHA","KIBAHA MJINI","VISIGA",1,13.93,1,NA
68,"PWANI","KISARAWE","KISARAWE","MZENGA",1,64.05,1,34.1
69,"PWANI","MKURANGA","MKURANGA","NYAMATO",1,45.67,1,29.2
70,"PWANI","RUFIJI","RUFIJI","CHUMBI",1,14.82,1,15.1
71,"PWANI","MAFIA","MAFIA","JIBONDO",1,17.83,1,17.7
72,"DAR-ES-SALAAM","KINONDONI","KINONDONI","HANANASIF",1,22.99,NA,NA
73,"DAR-ES-SALAAM","ILALA","ILALA","LLALA",1,46.04,NA,NA
74,"DAR-ES-SALAAM","KINONDONI","KINONDONI","NDUGUMBI",1,22.99,NA,NA
75,"DAR-ES-SALAAM","KINONDONI","KINONDONI","MAKUMBUSHO",1,22.99,NA,NA
76,"DAR-ES-SALAAM","KINONDONI","KINONDONI","TANDALE",1,22.99,NA,NA
