id,reg,dis,con,ward
1,DODOMA,KONDOA,KONDOA KUSINI,PARANGA
2,DODOMA,MPWAPWA,MPWAPWA,MATOMONDO
3,DODOMA,MPWAPWA,NA,LUMUMA
4,DODOMA,KONGWA,KONGWA,UGOGONI
5,DODOMA,KONGWA,KONGWA,KONGWA
6,DODOMA,DODOMA RURAL,MTERA,MVUMI MISSION
7,DODOMA,DODOMA RURAL,BAHI,CHIBELELA
8,DODOMA,DODOMA RURAL,BAHI,BAHI
9,DODOMA,DODOMA URBAN,DODOMA MJINI,CHILANGA
10,DODOMA,DODOMA URBAN,DODOMA MJINI,HOMBOLO
11,DODOMA,DODOMA URBAN,DODOMA MJINI,NALA
12,ARUSHA,MONDULI,MONDULI,SELELA
13,ARUSHA,MONDULI,MONDULI,ENGARUKA
14,ARUSHA,ARUMERU,ARUMERU MASHARIKI,MAJIYA CHAI
15,ARUSHA,ARUMERU,ARUMERU MASHARIKI,KIKWE
16,ARUSHA,ARUMERU,ARUMERU MAGHARIBI,KIRANYI
17,ARUSHA,ARUSHA,ARUSHA  MJINI,TERRAT
18,ARUSHA,ARUSHA,ARUSHA  MJINI,DARAJA MBILI
19,ARUSHA,ARUSHA,ARUSHA  MJINI,SOMBETINI
20,ARUSHA,KARATU,KARATU,RHOTIA
21,ARUSHA,KARATU,KARATU,GANAKO
22,ARUSHA,NGORONGORO,NGORONGORO,DIGODIGO
23,ARUSHA,NGORONGORO,NGORONGORO,NGORONGORO
24,KILIMANJARO,ROMBO,ROMBO,KELAMFUA MOKALA
25,KILIMANJARO,ROMBO,ROMBO,OLELE
26,KILIMANJARO,ROMBO,ROMBO,KIRONGO SAMANGA
27,KILIMANJARO,MWANGA,MWANGA,MSANGENI
28,KILIMANJARO,MWANGA,MWANGA,KWAKOA
29,KILIMANJARO,SAME,SAME MASHARIKI,NDUNGU
30,KILIMANJARO,SAME,SAME MAGHARIBI,MAKANYA
31,KILIMANJARO,MOSHI RURAL,VUNJO,MWIKA KUSINI
32,KILIMANJARO,MOSHI RURAL,MOSHI VIJIJINI,KIMOCHI
33,KILIMANJARO,MOSHI RURAL,VUNJO,KIRUA VUNJO MASHARIKI
34,KILIMANJARO,HAI,HAI,MASAMA MASHARIKI
35,KILIMANJARO,HAI,SIHA,SIHA KATI
36,KILIMANJARO,HAI,HAI,HAI MJINI
37,TANGA,KOROGWE,KOROGWE VIJIJINI,MASHEWA
38,TANGA,LUSHOTO,LUSHOTO,LUSHOTO
39,TANGA,KOROGWE,KOROGWE VIJIJINI,KERENGE
40,TANGA,KOROGWE,KOROGWE MJINI,KOROGWE
41,TANGA,KOROGWE,KOROGWE VIJIJINI,MAGOMA
42,TANGA,MUHEZA,MUHEZA,MISALAI
43,TANGA,MUHEZA,MUHEZA,BWEMBWERA
44,TANGA,TANGA,TANGA MJINI,CHONGOLEANI
45,TANGA,PANGANI,PANGANI,BWENI
46,TANGA,PANGANI,PANGANI,TUNGAMAA
47,TANGA,HANDENI,HANDENI,MAZINGARA
48,TANGA,HANDENI,HANDENI,KOMKONGA
49,TANGA,HANDENI,HANDENI,CHANIKA
50,TANGA,KILINDI,KILINDI,KWEDIBOMA
51,MOROGORO,KILOSA,KILOSA,MSOWERO
52,MOROGORO,KILOSA,GAIRO,MANDEGE
53,MOROGORO,MOROGORO RURAL,MOROGORO KUSINI MASHARIKI,MKUYUNI
54,MOROGORO,KILOMBERO,KILOMBERO,LUMELO
55,MOROGORO,KILOMBERO,KILOMBERO,IDETE
56,MOROGORO,ULANGA,ULANGA MASHARIKI,VIGOI
57,MOROGORO,ULANGA,ULANGA MASHARIKI,LSONGO
58,MOROGORO,MOROGORO URBAN,MOROGORO MJINI,KINGO
59,MOROGORO,MOROGORO URBAN,MOROGORO MJINI,MAZIMBU
60,MOROGORO,MOROGORO URBAN,MOROGORO MJINI,MWEMBESONGO
61,MOROGORO,MOROGORO URBAN,MOROGORO MJINI,KIHONDA
62,MOROGORO,MVOMERO,MVOMERO,MTIBWA
63,MOROGORO,MVOMERO,MVOMERO,KANGA
64,MOROGORO,MVOMERO,MVOMERO,KIKEO
65,PWANI,BAGAMOYO,BAGAMOYO,MAGOMENI
66,PWANI,BAGAMOYO,CHALINZE,CHALINZE
67,PWANI,KIBAHA,KIBAHA MJINI,VISIGA
68,PWANI,KISARAWE,KISARAWE,MZENGA
69,PWANI,MKURANGA,MKURANGA,NYAMATO
70,PWANI,RUFIJI,RUFIJI,CHUMBI
71,PWANI,MAFIA,MAFIA,JIBONDO
72,DAR-ES-SALAAM,KINONDONI,KINONDONI,HANANASIF
73,DAR-ES-SALAAM,ILALA,ILALA,LLALA
74,DAR-ES-SALAAM,KINONDONI,KINONDONI,NDUGUMBI
75,DAR-ES-SALAAM,KINONDONI,KINONDONI,MAKUMBUSHO
76,DAR-ES-SALAAM,KINONDONI,KINONDONI,TANDALE
77,DAR-ES-SALAAM,KINONDONI,KINONDONI,MWANANYAMALA
78,DAR-ES-SALAAM,KINONDONI,KINONDONI,MAGOMENI
79,DAR-ES-SALAAM,KINONDONI,KINONDONI,KINONDONI
80,DAR-ES-SALAAM,ILALA,ILALA,UPANGA MAGHARIBI
81,DAR-ES-SALAAM,ILALA,ILALA,JANGWANI
82,DAR-ES-SALAAM,KINONDONI,KINONDONI,MZIMUNI
83,DAR-ES-SALAAM,KINONDONI,KINONDONI,KIGOGO
84,DAR-ES-SALAAM,KINONDONI,UBUNGO,MBURAHATI
85,DAR-ES-SALAAM,KINONDONI,UBUNGO,MAKURUMLA
86,DAR-ES-SALAAM,KINONDONI,UBUNGO,UBUNGO
87,DAR-ES-SALAAM,KINONDONI,UBUNGO,MANZESE
88,DAR-ES-SALAAM,KINONDONI,KINONDONI,KIJITONYAMA
89,DAR-ES-SALAAM,KINONDONI,UBUNGO,MBEZI
90,DAR-ES-SALAAM,KINONDONI,KAWE,KAWE
91,DAR-ES-SALAAM,KINONDONI,KAWE,KUNDUCHI
92,DAR-ES-SALAAM,KINONDONI,KAWE,BUNJU
93,DAR-ES-SALAAM,KINONDONI,UBUNGO,MAKUBURI
94,DAR-ES-SALAAM,KINONDONI,UBUNGO,SINZA
95,DAR-ES-SALAAM,KINONDONI,KAWE,MIKOCHENI
96,DAR-ES-SALAAM,KINONDONI,UBUNGO,KIMARA
97,DAR-ES-SALAAM,ILALA,UKONGA,UKONGA
