"reg","dis","ccm_prez10","split_prez10"
"ARUSHA","JIJI LA ARUSHA",0,15.6342980795239
"ARUSHA","WILAYA YA ARUSHA",1,7.94464616871075
"ARUSHA","WILAYA YA KARATU",0,27.6305138130492
"ARUSHA","WILAYA YA LONGIDO",1,71.60518444666
"ARUSHA","WILAYA YA MERU",1,20.0756949420346
"ARUSHA","WILAYA YA MONDULI",1,66.2351902049767
"ARUSHA","WILAYA YA NGORONGORO",1,32.4697033012954
"DAR-ES-SALAAM","MANISPAA YA ILALA",1,18.9510338885698
"DAR-ES-SALAAM","MANISPAA YA KINONDONI",1,9.11611704327665
"DAR-ES-SALAAM","MANISPAA YA TEMEKE",1,27.6410107723532
"DODOMA","MANISPAA YA DODOMA",1,47.9343771235213
"DODOMA","WILAYA YA BAHI",1,83.4510095379661
"DODOMA","WILAYA YA CHAMWINO",1,74.4383502820448
"DODOMA","WILAYA YA KONDOA",1,53.9779185735043
"DODOMA","WILAYA YA KONGWA",1,82.8490169407691
"DODOMA","WILAYA YA MPWAPWA",1,74.5192828024099
"IRINGA","MANISPAA YA IRINGA",1,10.6038248140715
"IRINGA","MJI WA NJOMBE",1,52.3365433350228
"IRINGA","WILAYA YA IRINGA",1,65.8750680457267
"IRINGA","WILAYA YA KILOLO",1,73.3451212324452
"IRINGA","WILAYA YA LUDEWA",1,57.2541966426858
"IRINGA","WILAYA YA MAKETE",1,51.9566457501426
"IRINGA","WILAYA YA MUFINDI",1,72.0267552804598
"IRINGA","WILAYA YA NJOMBE",1,54.1783626796933
"KAGERA","MANISPAA YA BUKOBA",0,3.66066774994634
"KAGERA","WILAYA YA BIHARAMULO",1,7.99990294324606
"KAGERA","WILAYA YA BUKOBA",1,24.4048055624826
"KAGERA","WILAYA YA CHATO",1,10.4866465419447
"KAGERA","WILAYA YA KARAGWE",1,22.6663690865573
"KAGERA","WILAYA YA MISSENYI",1,32.0995733953849
"KAGERA","WILAYA YA MULEBA",1,15.6828542399094
"KAGERA","WILAYA YA NGARA",1,63.6333968842857
"KIGOMA","MANISPAA YA KIGOMA/UJIJI",1,46.0393119233583
"KIGOMA","WILAYA YA KASULU",0,11.8408218488453
"KIGOMA","WILAYA YA KIBONDO",0,0.656527116280294
"KIGOMA","WILAYA YA KIGOMA",1,29.9546829254152
"KILIMANJARO","MANISPAA YA MOSHI",0,12.1578501812499
"KILIMANJARO","WILAYA YA HAI",1,31.5197304054788
"KILIMANJARO","WILAYA YA MOSHI",1,14.0223831468071
"KILIMANJARO","WILAYA YA MWANGA",1,61.3549360040215
"KILIMANJARO","WILAYA YA ROMBO",1,8.61889261260684
"KILIMANJARO","WILAYA YA SAME",1,52.8610865931755
"KILIMANJARO","WILAYA YA SIHA",1,36.0229676639468
"LINDI","MJI WA LINDI",1,31.5236495723157
"LINDI","WILAYA YA KILWA",1,13.4670256801833
"LINDI","WILAYA YA LINDI",1,46.4600161550889
"LINDI","WILAYA YA LIWALE",1,21.0203502800823
"LINDI","WILAYA YA NACHINGWEA",1,55.1959726717008
"LINDI","WILAYA YA RUANGWA",1,50.223262905685
"MANYARA","MJI WA BABATI",1,24.9002433090024
"MANYARA","WILAYA YA BABATI",0,5.74681688286429
"MANYARA","WILAYA YA HANANG",0,9.99662935301318
"MANYARA","WILAYA YA KITETO",1,42.4764299182904
"MANYARA","WILAYA YA MBULU",0,36.5592094185911
"MANYARA","WILAYA YA SIMANJIRO",1,61.142287423444
"MARA","MANISPAA YA MUSOMA",0,4.84217884605044
"MARA","WILAYA YA BUNDA",1,15.3633098195352
"MARA","WILAYA YA MUSOMA",1,34.8518140678543
"MARA","WILAYA YA RORYA",1,8.43041598054756
"MARA","WILAYA YA SERENGETI",1,19.5969277776615
"MARA","WILAYA YA TARIME",1,3.96403759705762
"MBEYA","JIJI LA MBEYA",0,13.9150851105459
"MBEYA","WILAYA YA CHUNYA",1,64.4661692822228
"MBEYA","WILAYA YA ILEJE",1,45.1593569313214
