Region ,households,V2,V2
Iringa ,61854,61854,61854
Njombe ,37400,37400,37400
Njombe ,24811,24811,24811
Mbeya ,61165,61165,61165
Ruvuma ,48775,48775,48775
Rukwa ,41000,41000,41000
Katavi ,41000,41000,41000
Morogoro ,88911,88911,88911
Kigoma ,46944,46944,46944
Shinyanga ,6000,6000,6000
Mwanza ,8000,8000,8000
Geita ,22000,22000,22000
Kagera ,25000,25000,25000
Mara ,35000,35000,35000
Dodoma ,35641,35641,35641
Singida ,2000,2000,2000
Tabora ,55282,55282,55282
Pwani ,14981,14981,14981
Mtwara ,36500,36500,36500
Lindi ,37000,37000,37000
Arusha ,55000,55000,55000
Manyara ,60000,60000,60000
Kilimanjaro ,60519,60519,60519
Tanga ,36000,36000,36000
