Region ,households,V1,V2
Iringa ,336635,336635,336635
Mbeya ,317012,317012,317012
Ruvuma ,203412,203412,203412
Rukwa ,157647,157647,156647
Morogoro ,140706,140706,140000
Kigoma ,92941,92941,92941
Dodoma ,24776,24776,24776
Singida ,25731,25731,25731
Tabora ,56942,56942,56941
Shinyanga ,53192,53192,53192
Mwanza ,53596,53596,53596
Kagera ,53192,53192,53192
Mara ,63596,63597,63596
Pwani ,10981,10981,10981
Mtwara ,24000,24000,24000
Lindi ,21197,21197,21197
Arusha ,101863,101863,101863
Manyara ,84000,84000,84000
Kilimanjaro ,142289,142289,142289
Tanga ,47292,47292,47292
TOTAL ,2011000,2011001,2009293
